source,value,target,town
Total Spending,15045382,Education,Oak Bluffs
Total Spending,1900324,Public Works,Oak Bluffs
Total Spending,394391,Human Services,Oak Bluffs
Total Spending,831020,Culture and Recreation,Oak Bluffs
Total Spending,4835518,Fixed Costs,Oak Bluffs
Total Spending,1122598,Intergovernmental Assessments,Oak Bluffs
Total Spending,1488725,Other Expenditures,Oak Bluffs
Total Spending,3333427,Debt Service,Oak Bluffs
Residential Levy,3149060.93,Tax Levy,Oakham
Open Space Levy,0,Tax Levy,Oakham
Commercial Levy,67709.26,Tax Levy,Oakham
Industrial Levy,15935.36,Tax Levy,Oakham
Personal Prop Levy,166736.21,Tax Levy,Oakham
Tax Levy,3399441.76,Total Revenue,Oakham
State Aid,377737,Total Revenue,Oakham
Local Receipts,467568,Total Revenue,Oakham
Enterprise & CPA Funds,0,Total Revenue,Oakham
Other Revenue,503401.24,Total Revenue,Oakham
Total Revenue,4213595,Total Spending,Oakham
Total Revenue,534553,Budget Surplus,Oakham
Budget Defecit,0,Total Spending,Oakham
Total Spending,377770,General Government,Oakham
Total Spending,246971,Police,Oakham
Total Spending,133279,Fire,Oakham
Total Spending,101537,Other Public Safety,Oakham
Total Spending,2606504,Education,Oakham
Total Spending,362534,Public Works,Oakham
Total Spending,20229,Human Services,Oakham
Total Spending,106706,Culture and Recreation,Oakham
Total Spending,221839,Fixed Costs,Oakham
Total Spending,3465,Intergovernmental Assessments,Oakham
Total Spending,0,Other Expenditures,Oakham
Total Spending,32761,Debt Service,Oakham
Residential Levy,10845920.26,Tax Levy,Orange
Open Space Levy,0,Tax Levy,Orange
Commercial Levy,1234986.26,Tax Levy,Orange
Industrial Levy,726668.25,Tax Levy,Orange
Personal Prop Levy,603192.35,Tax Levy,Orange
Tax Levy,13410767.12,Total Revenue,Orange
State Aid,8427437,Total Revenue,Orange
Local Receipts,2917669,Total Revenue,Orange
Enterprise & CPA Funds,2026276,Total Revenue,Orange
Other Revenue,1579114.58,Total Revenue,Orange
Total Revenue,25361172,Total Spending,Orange
Total Revenue,3000091.6999999955,Budget Surplus,Orange
Budget Defecit,0,Total Spending,Orange
Total Spending,1293637,General Government,Orange
Total Spending,1423165,Police,Orange
Total Spending,1404070,Fire,Orange
Total Spending,234516,Other Public Safety,Orange
Total Spending,13054939,Education,Orange
Total Spending,1799107,Public Works,Orange
Total Spending,207083,Human Services,Orange
Total Spending,363326,Culture and Recreation,Orange
Total Spending,3476122,Fixed Costs,Orange
Total Spending,603260,Intergovernmental Assessments,Orange
Total Spending,114030,Other Expenditures,Orange
Total Spending,1387917,Debt Service,Orange
Residential Levy,33714425.74,Tax Levy,Orleans
Open Space Levy,0,Tax Levy,Orleans
Commercial Levy,1897121.54,Tax Levy,Orleans
Industrial Levy,61028.46,Tax Levy,Orleans
Personal Prop Levy,445929.88,Tax Levy,Orleans
Tax Levy,36118505.62,Total Revenue,Orleans
State Aid,728617,Total Revenue,Orleans
Local Receipts,5555746,Total Revenue,Orleans
Enterprise & CPA Funds,5307773,Total Revenue,Orleans
Other Revenue,5245835,Total Revenue,Orleans
Total Revenue,39134637,Total Spending,Orleans
Total Revenue,13821839.619999997,Budget Surplus,Orleans
Budget Defecit,0,Total Spending,Orleans
Total Spending,3579051,General Government,Orleans
Total Spending,2943078,Police,Orleans
Total Spending,3626931,Fire,Orleans
Total Spending,950793,Other Public Safety,Orleans
Total Spending,11288513,Education,Orleans
Total Spending,1073355,Public Works,Orleans
Total Spending,1267065,Human Services,Orleans
Total Spending,1692899,Culture and Recreation,Orleans
Total Spending,5453373,Fixed Costs,Orleans
Total Spending,669295,Intergovernmental Assessments,Orleans
Total Spending,0,Other Expenditures,Orleans
Total Spending,6590284,Debt Service,Orleans
Residential Levy,4990769.64,Tax Levy,Otis
Open Space Levy,0,Tax Levy,Otis
Commercial Levy,106062.36,Tax Levy,Otis
Industrial Levy,23224.95,Tax Levy,Otis
Personal Prop Levy,205092.22,Tax Levy,Otis
Tax Levy,5325149.17,Total Revenue,Otis
State Aid,250090,Total Revenue,Otis
Local Receipts,1155602.99,Total Revenue,Otis
Enterprise & CPA Funds,68400,Total Revenue,Otis
Other Revenue,984806,Total Revenue,Otis
Total Revenue,7258272,Total Spending,Otis
Total Revenue,525776.1600000001,Budget Surplus,Otis
Budget Defecit,0,Total Spending,Otis
Total Spending,1245573,General Government,Otis
Total Spending,214745,Police,Otis
Total Spending,86735,Fire,Otis
Total Spending,353061,Other Public Safety,Otis
Total Spending,2301861,Education,Otis
Total Spending,1435927,Public Works,Otis
Total Spending,71127,Human Services,Otis
Total Spending,108445,Culture and Recreation,Otis
Total Spending,511600,Fixed Costs,Otis
Total Spending,30008,Intergovernmental Assessments,Otis
Total Spending,19078,Other Expenditures,Otis
Total Spending,880112,Debt Service,Otis
Residential Levy,22276577.6,Tax Levy,Oxford
Open Space Levy,0,Tax Levy,Oxford
Commercial Levy,2044358.07,Tax Levy,Oxford
Industrial Levy,2051599.22,Tax Levy,Oxford
Personal Prop Levy,1058694.52,Tax Levy,Oxford
Tax Levy,27431229.41,Total Revenue,Oxford
State Aid,13922621,Total Revenue,Oxford
Local Receipts,3278500,Total Revenue,Oxford
Enterprise & CPA Funds,626280,Total Revenue,Oxford
Other Revenue,5615528,Total Revenue,Oxford
Total Revenue,45995509,Total Spending,Oxford
Total Revenue,4878649.409999996,Budget Surplus,Oxford
Budget Defecit,0,Total Spending,Oxford
Total Spending,3927093,General Government,Oxford
Total Spending,2870841,Police,Oxford
Total Spending,0,Fire,Oxford
Total Spending,2158934,Other Public Safety,Oxford
Total Spending,20857887,Education,Oxford
Total Spending,4840728,Public Works,Oxford
Total Spending,288228,Human Services,Oxford
Total Spending,815351,Culture and Recreation,Oxford
Total Spending,7875763,Fixed Costs,Oxford
Total Spending,1014434,Intergovernmental Assessments,Oxford
Total Spending,0,Other Expenditures,Oxford
Total Spending,1346250,Debt Service,Oxford
Residential Levy,18677959.97,Tax Levy,Palmer
Open Space Levy,0,Tax Levy,Palmer
Commercial Levy,1290485.54,Tax Levy,Palmer
Industrial Levy,896887.84,Tax Levy,Palmer
Personal Prop Levy,1490615.77,Tax Levy,Palmer
Tax Levy,22355949.12,Total Revenue,Palmer
State Aid,14035511,Total Revenue,Palmer
Local Receipts,5884925,Total Revenue,Palmer
Enterprise & CPA Funds,0,Total Revenue,Palmer
Other Revenue,6962029.13,Total Revenue,Palmer
Total Revenue,37682430,Total Spending,Palmer
Total Revenue,11555984.250000007,Budget Surplus,Palmer
Budget Defecit,0,Total Spending,Palmer
Total Spending,1753199,General Government,Palmer
Total Spending,2801511,Police,Palmer
Total Spending,0,Fire,Palmer
Total Spending,252386,Other Public Safety,Palmer
Total Spending,19093990,Education,Palmer
Total Spending,1495112,Public Works,Palmer
Total Spending,581743,Human Services,Palmer
Total Spending,1246350,Culture and Recreation,Palmer
Total Spending,7857448,Fixed Costs,Palmer
Total Spending,1309958,Intergovernmental Assessments,Palmer
Total Spending,0,Other Expenditures,Palmer
Total Spending,1290733,Debt Service,Palmer
Residential Levy,11917536.29,Tax Levy,Paxton
Open Space Levy,0,Tax Levy,Paxton
Commercial Levy,203863.16,Tax Levy,Paxton
Industrial Levy,95285.36,Tax Levy,Paxton
Personal Prop Levy,196351.74,Tax Levy,Paxton
Tax Levy,12413036.55,Total Revenue,Paxton
State Aid,784753,Total Revenue,Paxton
Local Receipts,1311456,Total Revenue,Paxton
Enterprise & CPA Funds,1176944,Total Revenue,Paxton
Other Revenue,1161826,Total Revenue,Paxton
Total Revenue,15100812,Total Spending,Paxton
Total Revenue,1747203.5500000007,Budget Surplus,Paxton
Budget Defecit,0,Total Spending,Paxton
Total Spending,857677,General Government,Paxton
Total Spending,1124460,Police,Paxton
Total Spending,441106,Fire,Paxton
Total Spending,871202,Other Public Safety,Paxton
Total Spending,7660653,Education,Paxton
Total Spending,1577070,Public Works,Paxton
Total Spending,88304,Human Services,Paxton
Total Spending,228629,Culture and Recreation,Paxton
Total Spending,1477696,Fixed Costs,Paxton
Total Spending,46916,Intergovernmental Assessments,Paxton
Total Spending,48629,Other Expenditures,Paxton
Total Spending,678470,Debt Service,Paxton
Residential Levy,81099025.67,Tax Levy,Peabody
Open Space Levy,0,Tax Levy,Peabody
Commercial Levy,24018952.52,Tax Levy,Peabody
Industrial Levy,7010803.04,Tax Levy,Peabody
Personal Prop Levy,3101638.77,Tax Levy,Peabody
Tax Levy,115230420,Total Revenue,Peabody
State Aid,40891411,Total Revenue,Peabody
Local Receipts,22200000,Total Revenue,Peabody
Enterprise & CPA Funds,24621883.49,Total Revenue,Peabody
Other Revenue,5445000,Total Revenue,Peabody
Total Revenue,181739688,Total Spending,Peabody
Total Revenue,26649026.49000001,Budget Surplus,Peabody
Budget Defecit,0,Total Spending,Peabody
Total Spending,9737481,General Government,Peabody
Total Spending,12173113,Police,Peabody
Total Spending,13065614,Fire,Peabody
Total Spending,103790,Other Public Safety,Peabody
Total Spending,78164479,Education,Peabody
Total Spending,9010753,Public Works,Peabody
Total Spending,3507474,Human Services,Peabody
Total Spending,4722650,Culture and Recreation,Peabody
Total Spending,39774121,Fixed Costs,Peabody
Total Spending,3323809,Intergovernmental Assessments,Peabody
Total Spending,145136,Other Expenditures,Peabody
Total Spending,8011268,Debt Service,Peabody
Residential Levy,3885077.58,Tax Levy,Pelham
Open Space Levy,0,Tax Levy,Pelham
Commercial Levy,39853.88,Tax Levy,Pelham
Industrial Levy,18213.63,Tax Levy,Pelham
Personal Prop Levy,271186.24,Tax Levy,Pelham
Tax Levy,4214331.33,Total Revenue,Pelham
State Aid,903497,Total Revenue,Pelham
Local Receipts,647400,Total Revenue,Pelham
Enterprise & CPA Funds,87800,Total Revenue,Pelham
Other Revenue,340785.78,Total Revenue,Pelham
Total Revenue,4828298,Total Spending,Pelham
Total Revenue,1365516.1100000003,Budget Surplus,Pelham
Budget Defecit,0,Total Spending,Pelham
Total Spending,412702,General Government,Pelham
Total Spending,219435,Police,Pelham
Total Spending,85931,Fire,Pelham
Total Spending,57601,Other Public Safety,Pelham
Total Spending,2878216,Education,Pelham
Total Spending,463697,Public Works,Pelham
Total Spending,36984,Human Services,Pelham
Total Spending,56649,Culture and Recreation,Pelham
Total Spending,512540,Fixed Costs,Pelham
Total Spending,30518,Intergovernmental Assessments,Pelham
Total Spending,4500,Other Expenditures,Pelham
Total Spending,69525,Debt Service,Pelham
Residential Levy,42944115.64,Tax Levy,Pembroke
Open Space Levy,0,Tax Levy,Pembroke
Commercial Levy,3408058.06,Tax Levy,Pembroke
Industrial Levy,1335377.4,Tax Levy,Pembroke
Personal Prop Levy,791498.57,Tax Levy,Pembroke
Tax Levy,48479049.67,Total Revenue,Pembroke
State Aid,16421106,Total Revenue,Pembroke
Local Receipts,5132207.33,Total Revenue,Pembroke
Enterprise & CPA Funds,5981151,Total Revenue,Pembroke
Other Revenue,3737794.83,Total Revenue,Pembroke
Total Revenue,71328569,Total Spending,Pembroke
Total Revenue,8422739.829999998,Budget Surplus,Pembroke
Budget Defecit,0,Total Spending,Pembroke
Total Spending,2213639,General Government,Pembroke
Total Spending,4486455,Police,Pembroke
Total Spending,3948913,Fire,Pembroke
Total Spending,586210,Other Public Safety,Pembroke
Total Spending,36709855,Education,Pembroke
Total Spending,1962712,Public Works,Pembroke
Total Spending,459695,Human Services,Pembroke
Total Spending,953620,Culture and Recreation,Pembroke
Total Spending,13734579,Fixed Costs,Pembroke
Total Spending,1407697,Intergovernmental Assessments,Pembroke
Total Spending,592847,Other Expenditures,Pembroke
Total Spending,4272347,Debt Service,Pembroke
Residential Levy,25534108.79,Tax Levy,Pepperell
Open Space Levy,0,Tax Levy,Pepperell
Commercial Levy,531083.33,Tax Levy,Pepperell
Industrial Levy,509927.31,Tax Levy,Pepperell
Personal Prop Levy,462717.07,Tax Levy,Pepperell
Tax Levy,27037836.5,Total Revenue,Pepperell
State Aid,1936671,Total Revenue,Pepperell
Local Receipts,3191606,Total Revenue,Pepperell
Enterprise & CPA Funds,5954025,Total Revenue,Pepperell
Other Revenue,622179,Total Revenue,Pepperell
Total Revenue,31398255,Total Spending,Pepperell
Total Revenue,7344062.5,Budget Surplus,Pepperell
Budget Defecit,0,Total Spending,Pepperell
Total Spending,1900248,General Government,Pepperell
Total Spending,2392811,Police,Pepperell
Total Spending,359515,Fire,Pepperell
Total Spending,1413762,Other Public Safety,Pepperell
Total Spending,19688040,Education,Pepperell
Total Spending,1657487,Public Works,Pepperell
Total Spending,392979,Human Services,Pepperell
Total Spending,635824,Culture and Recreation,Pepperell
Total Spending,2789713,Fixed Costs,Pepperell
Total Spending,27980,Intergovernmental Assessments,Pepperell
Total Spending,89229,Other Expenditures,Pepperell
Total Spending,50667,Debt Service,Pepperell
Residential Levy,1711823.86,Tax Levy,Peru
Open Space Levy,0,Tax Levy,Peru
Commercial Levy,112990.57,Tax Levy,Peru
Industrial Levy,15141,Tax Levy,Peru
Personal Prop Levy,159282.2,Tax Levy,Peru
Tax Levy,1999237.63,Total Revenue,Peru
State Aid,300750,Total Revenue,Peru
Local Receipts,146524.92,Total Revenue,Peru
Enterprise & CPA Funds,0,Total Revenue,Peru
Other Revenue,110600,Total Revenue,Peru
Total Revenue,2419000,Total Spending,Peru
Total Revenue,138112.5499999998,Budget Surplus,Peru
Budget Defecit,0,Total Spending,Peru
Total Spending,237982,General Government,Peru
Total Spending,96123,Police,Peru
Total Spending,47696,Fire,Peru
Total Spending,4787,Other Public Safety,Peru
Total Spending,1230234,Education,Peru
Total Spending,506180,Public Works,Peru
Total Spending,13447,Human Services,Peru
Total Spending,25343,Culture and Recreation,Peru
Total Spending,205050,Fixed Costs,Peru
Total Spending,644,Intergovernmental Assessments,Peru
Total Spending,0,Other Expenditures,Peru
Total Spending,51514,Debt Service,Peru
Residential Levy,2909271.21,Tax Levy,Petersham
Open Space Levy,0,Tax Levy,Petersham
Commercial Levy,78370.48,Tax Levy,Petersham
Industrial Levy,3336.43,Tax Levy,Petersham
Personal Prop Levy,240621.63,Tax Levy,Petersham
Tax Levy,3231599.75,Total Revenue,Petersham
State Aid,1070489,Total Revenue,Petersham
Local Receipts,813600,Total Revenue,Petersham
Enterprise & CPA Funds,30000,Total Revenue,Petersham
Other Revenue,762427.47,Total Revenue,Petersham
Total Revenue,4801734,Total Spending,Petersham
Total Revenue,1106382.2199999997,Budget Surplus,Petersham
Budget Defecit,0,Total Spending,Petersham
Total Spending,292397,General Government,Petersham
Total Spending,257930,Police,Petersham
Total Spending,71112,Fire,Petersham
Total Spending,33211,Other Public Safety,Petersham
Total Spending,2910757,Education,Petersham
Total Spending,414357,Public Works,Petersham
Total Spending,38708,Human Services,Petersham
Total Spending,37431,Culture and Recreation,Petersham
Total Spending,426963,Fixed Costs,Petersham
Total Spending,91736,Intergovernmental Assessments,Petersham
Total Spending,0,Other Expenditures,Petersham
Total Spending,227132,Debt Service,Petersham
Residential Levy,3737145.56,Tax Levy,Phillipston
Open Space Levy,0,Tax Levy,Phillipston
Commercial Levy,102825.4,Tax Levy,Phillipston
Industrial Levy,8467.98,Tax Levy,Phillipston
Personal Prop Levy,88723.94,Tax Levy,Phillipston
Tax Levy,3937162.88,Total Revenue,Phillipston
State Aid,293694,Total Revenue,Phillipston
Local Receipts,487150,Total Revenue,Phillipston
Enterprise & CPA Funds,113962,Total Revenue,Phillipston
Other Revenue,405954,Total Revenue,Phillipston
Total Revenue,4442606,Total Spending,Phillipston
Total Revenue,795316.8799999999,Budget Surplus,Phillipston
Budget Defecit,0,Total Spending,Phillipston
Total Spending,576775,General Government,Phillipston
Total Spending,449699,Police,Phillipston
Total Spending,291774,Fire,Phillipston
Total Spending,122676,Other Public Safety,Phillipston
Total Spending,2015001,Education,Phillipston
